id,Rating,Comment
1,52.0,Enterprise-wide global pricing structure
2,6.7,Diverse scalable info-mediaries
3,65.2,Reverse-engineered regional open architecture
4,19.7,Right-sized attitude-oriented access
5,20.6,Extended needs-based knowledge base
6,70.2,Face to face logistical installation
7,6.0,Versatile client-driven challenge
8,52.5,Programmable uniform knowledge user
9,84.0,Cloned object-oriented alliance
10,47.6,Mandatory high-level hierarchy
11,77.1,Persistent user-facing circuit
12,41.4,Reactive next generation productivity
13,28.5,Configurable dedicated Graphic Interface
14,20.9,Programmable tangible productivity
15,25.1,Open-architected full-range encoding
16,40.1,Cross-platform zero tolerance internet solution
17,15.7,Decentralized fault-tolerant system engine
18,43.5,Extended background capacity
19,13.3,Adaptive zero defect forecast
20,99.3,Digitized eco-centric info-mediaries
21,62.9,Right-sized systematic pricing structure
22,35.6,Diverse 4th generation strategy
23,95.9,Customizable human-resource portal
24,47.1,Business-focused 4th generation capability
25,77.6,Programmable context-sensitive framework
26,32.1,Business-focused even-keeled installation
27,9.5,Pre-emptive transitional secured line
28,75.8,Customizable interactive paradigm
29,27.8,Future-proofed asynchronous functionalities
30,86.9,Open-architected clear-thinking interface
31,47.8,Optional coherent intranet
32,73.3,Re-contextualized content-based migration
33,88.2,Ameliorated foreground application
34,77.1,Mandatory coherent solution
35,55.4,Polarised bottom-line intranet
36,49.2,Synergistic bottom-line groupware
37,38.0,Optimized system-worthy architecture
38,78.9,Phased static algorithm
39,74.7,Customer-focused upward-trending leverage
40,3.6,Total attitude-oriented attitude
41,68.4,Face to face interactive contingency
42,53.9,Profit-focused actuating toolset
43,10.5,Devolved leading edge collaboration
44,22.8,Public-key grid-enabled Graphic Interface
45,52.5,Reduced multi-state methodology
46,60.7,Profit-focused foreground help-desk
47,99.7,Visionary dedicated moderator
48,37.7,Multi-channelled empowering forecast
49,56.8,Fully-configurable directional collaboration
50,60.0,Versatile 24 hour instruction set
51,37.3,Fully-configurable grid-enabled strategy
52,89.4,Programmable grid-enabled firmware
53,40.2,Organic analyzing strategy
54,54.7,Phased didactic hardware
55,11.9,Implemented motivating moderator
56,86.1,Business-focused uniform system engine
57,57.8,Total exuding collaboration
58,21.9,Devolved object-oriented array
59,72.4,Managed local time-frame
60,83.3,Customer-focused encompassing policy
61,84.8,Reactive human-resource portal
62,41.7,Exclusive regional strategy
63,56.4,Open-architected 6th generation capacity
64,98.4,Down-sized well-modulated frame
65,25.9,Function-based modular protocol
66,8.3,Progressive discrete intranet
67,79.1,Horizontal system-worthy synergy
68,49.9,Mandatory user-facing definition
69,32.3,Cross-platform bifurcated functionalities
70,76.4,Horizontal responsive installation
71,38.2,Diverse actuating interface
72,73.7,Down-sized upward-trending alliance
73,98.5,Synergistic multimedia access
74,95.6,Implemented system-worthy migration
75,68.4,Switchable intangible encryption
76,84.6,Persevering scalable superstructure
77,4.7,Grass-roots value-added attitude
78,65.2,Function-based object-oriented knowledge base
79,9.8,Ergonomic maximized protocol
80,84.9,Profound fresh-thinking installation
81,91.5,Cross-platform real-time protocol
82,46.1,Phased empowering infrastructure
83,96.5,Total eco-centric parallelism
84,24.5,Stand-alone asymmetric productivity
85,14.2,Proactive analyzing open system
86,97.8,Universal 4th generation local area network
87,92.3,Virtual dynamic database
88,76.9,Versatile transitional knowledge user
89,7.8,Monitored attitude-oriented application
90,69.0,Inverse coherent productivity
91,73.3,Versatile needs-based software
92,60.2,Customizable incremental orchestration
93,2.8,User-friendly bifurcated installation
94,89.8,Right-sized local firmware
95,41.0,Configurable background process improvement
96,25.2,Fundamental static secured line
97,56.7,Switchable leading edge open system
98,76.2,Inverse reciprocal knowledge user
99,38.8,Networked reciprocal middleware
100,30.8,Expanded dedicated website
